id,url,status_code,latency,extract_method,page_type,content_length
109,http://99acres.com/3-bhk-flats-in-paschim-vihar-west-delhi-2-crores-to-3-crores-ffid,403,11.748651027679443,Selenium,error,0
110,https://www.denverpost.com/2018/05/21/colorado-buffaloes-football-dimitri-stanley/?share=facebook&nb=1,200,13.79,Selenium,html,582
111,http://www.allvoices.co/ebooks/quick-guide-to-eu-whistleblower-compliance,200,2.37,trafilatura,html,131
112,"https://news.cision.com/kemira-oyj/r/change-in-kemira-oyj-s-group-leadership-team--ulrika-dunker-appointed-as-the-new-evp-people---cultur,c4164578",200,1.45,trafilatura,html,2896
113,https://pintschshardwaretv.shoptruevalue.com/p/fuel-pump-031401110814,200,2.66,trafilatura,html,377
114,http://hangzhou.customs.gov.cn/hangzhou_customs/575648/6010987/6473347/index.html,412,14.157560348510742,Selenium,error,0
115,https://postnl.nl/tracktrace/?L=NL&B=3SNZEX100494912&P=3404VN&D=NL&T=C,200,21.12,Selenium,html,725
116,https://www.laroche-posay.fr/produits-soin/anthelios/anthelios-ka-spf-50-p22518.aspx,200,10.79,Selenium,html,523
117,https://cd.newhouse.fang.com/loupan/3211048846/dongtai/all/,200,3.85,trafilatura,html,439
118,https://www.clicdata.com/,200,1.63,trafilatura,html,6459
119,https://help.welcometothejungle.com/hc/en-gb/articles/4404011315602-GDPR-update-2022-Informing-applicants-about-their-resume-retention-in-Welcome-to-the-Jungle-Solutions-ATS,404,14.47,Selenium,error,142
120,https://www.rugsusa.com/pages/privacy-policy,403,15.12,Selenium,error,374
121,https://www.researchhub.com/paper/766400/infant-transmittedfounder-hiv-1-viruses-from-peripartum-transmission-are-neutralization-resistant-to-paired-maternal-plasma,200,1.88,trafilatura,spa,3307
122,http://threejs.org/manual/ko/custom-buffergeometry.html,200,1.35,trafilatura,html,12348
123,https://ecogreenindustries.com/product-category/filter-media/carbon-chemistry/,200,2.89,trafilatura,html,1256
124,http://roastmywebsite.ai,200,2.77,trafilatura,html,6864
125,https://milestonepremierproperties.com/idx/mls-20640853-301_n_greenville_avenue_135_allen_tx_75002,200,2.22,trafilatura,html,1897
126,https://sanmarin.nusd.org/news/register-to-vote-2/,200,12.44,Selenium,article,555
127,https://www.irvinedds.com/dexis-digital-x-rays,200,2.04,trafilatura,html,722
